order_date,region,product,channel,quantity,unit_price,sales,cost,profit
2024-04-17,North,Starter,Direct,8,46.8,374.4,216.95,157.45
2024-04-17,South,Growth,Online,8,58.8,470.4,272.63,197.77
2024-04-17,East,Pro,Partner,8,70.8,566.4,328.31,238.09
2024-04-17,West,Enterprise,Direct,8,82.8,662.4,383.99,278.41
2024-04-18,North,Growth,Online,9,48.6,437.4,253.69,183.71
2024-04-18,South,Pro,Partner,9,60.6,544.4,315.75,228.65
2024-04-18,East,Enterprise,Direct,9,72.6,653.4,378.97,274.43
2024-04-18,West,Starter,Online,9,84.6,761.4,441.21,320.19
2024-04-19,North,Pro,Partner,10,50.4,504,292.32,211.68
2024-04-19,South,Enterprise,Direct,10,62.4,624,361.92,262.08
2024-04-19,East,Starter,Online,10,74.4,744,431.52,312.48
2024-04-19,West,Growth,Partner,10,86.4,864,501.12,362.88
2024-04-20,North,Enterprise,Direct,11,52.2,574.2,332.83,241.37
2024-04-20,South,Starter,Online,11,64.2,706.2,409.59,296.61
2024-04-20,East,Growth,Partner,11,76.2,838.2,486.35,351.85
2024-04-20,West,Pro,Direct,11,88.2,970.2,563.12,407.08
2024-04-21,North,Starter,Online,12,54,648,375.84,272.16
2024-04-21,South,Growth,Partner,12,66,792,459.36,332.64
2024-04-21,East,Pro,Direct,12,78,936,542.88,393.12
2024-04-21,West,Enterprise,Online,12,90,1080,626.4,453.6
2024-04-22,North,Growth,Partner,13,55.8,725.4,420.73,304.67
2024-04-22,South,Pro,Direct,13,67.8,881.4,511.21,370.19
2024-04-22,East,Enterprise,Online,13,79.8,1037.4,601.69,435.71
2024-04-22,West,Starter,Partner,13,91.8,1193.4,692.17,501.23
2024-04-23,North,Pro,Direct,14,57.6,806.4,467.71,338.69
2024-04-23,South,Enterprise,Online,14,69.6,974.4,565.35,409.05
2024-04-23,East,Starter,Partner,14,81.6,1142.4,662.99,479.41
2024-04-23,West,Growth,Direct,14,93.6,1310.4,760.63,549.77
2024-04-24,North,Enterprise,Online,15,59.4,891,516.78,374.22
2024-04-24,South,Starter,Partner,15,71.4,1071,621.78,449.22
2024-04-24,East,Growth,Direct,15,83.4,1251,726.58,524.42
2024-04-24,West,Pro,Online,15,95.4,1431,830.18,600.82
2024-04-25,North,Starter,Partner,16,61.2,979.2,568.14,411.06
2024-04-25,South,Growth,Direct,16,73.2,1171.2,679.70,491.50
2024-04-25,East,Pro,Online,16,85.2,1363.2,791.26,571.94
2024-04-25,West,Enterprise,Partner,16,97.2,1555.2,902.82,652.38
2024-04-26,North,Growth,Online,17,63,1071,622.12,448.88
2024-04-26,South,Pro,Partner,17,75,1275,739.50,535.50
2024-04-26,East,Enterprise,Direct,17,87,1479,858.18,620.82
2024-04-26,West,Starter,Online,17,99,1683,976.74,706.26
2024-04-27,North,Pro,Partner,18,64.8,1166.4,676.51,489.89
2024-04-27,South,Enterprise,Direct,18,76.8,1382.4,801.79,580.61
2024-04-27,East,Starter,Online,18,88.8,1598.4,927.07,671.33
2024-04-27,West,Growth,Partner,18,100.8,1814.4,1052.35,762.05
2024-04-28,North,Enterprise,Partner,19,66.6,1265.4,734.33,531.07
2024-04-28,South,Starter,Direct,19,78.6,1493.4,866.37,626.03
2024-04-28,East,Growth,Online,19,90.6,1721.4,998.41,722.99
2024-04-28,West,Pro,Partner,19,102.6,1949.4,1131.05,818.35
2024-04-29,North,Starter,Direct,20,68.4,1368,793.92,574.08
2024-04-29,South,Growth,Online,20,80.4,1608,932.64,675.36
2024-04-29,East,Pro,Partner,20,92.4,1848,1071.36,776.64
2024-04-29,West,Enterprise,Direct,20,104.4,2088,1211.04,876.96
2024-04-30,North,Growth,Partner,21,70.2,1474.2,855.73,618.47
2024-04-30,South,Pro,Direct,21,82.2,1726.2,1001.99,724.21
2024-04-30,East,Enterprise,Online,21,94.2,1978.2,1147.55,830.65
2024-04-30,West,Starter,Partner,21,106.2,2230.2,1293.82,936.38
